Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58482658,Write Useful Books: A modern approach to designing and refining recommendable nonfiction,Rob Fitzpatrick,"Fitzpatrick, Rob",Adam Rosen,"=""""","=""""",0,4.55,,Kindle Edition,,2021,,,2021/10/03,to-read,to-read (#81),to-read,,,,0,0
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",0,4.01,Random House,Paperback,509,2004,2004,,2021/10/04,to-read,to-read (#82),to-read,,,,0,0
54109255,System Design Interview – An Insider's Guide,Alex Xu,"Xu, Alex",,"=""""","=""""",0,4.29,,Kindle Edition,324,2020,2020,,2021/08/18,currently-reading,currently-reading (#2),currently-reading,,,,1,0
34626375,"Comics for a Strange World: A Book of Poorly Drawn Lines (Poorly Drawn Lines, #2)",Reza Farazmand,"Farazmand, Reza",,"=""0735219885""","=""9780735219885""",0,4.16,Plume Books,Paperback,197,2017,2017,,2021/10/01,to-read,to-read (#80),to-read,,,,0,0
31951519,The Usefulness of Useless Knowledge,Abraham Flexner,"Flexner, Abraham",Robbert Dijkgraaf,"=""0691174768""","=""9780691174761""",0,4.24,Princeton University Press,Hardcover,104,2017,1939,,2021/09/27,to-read,to-read (#79),to-read,,,,0,0
58233711,A Common-Sense Guide to Data Structures and Algorithms:: Level Up Your Core Programming Skills,Jay Wengrow,"Wengrow, Jay",,"=""""","=""""",0,4.36,,Kindle Edition,,2021,,,2021/08/18,currently-reading,currently-reading (#3),currently-reading,,,,1,0
44144499,Monolith to Microservices: Sustaining Productivity While Detangling the System,Sam Newman,"Newman, Sam",,"=""1492047848""","=""9781492047841""",0,4.30,O'Reilly Media,Paperback,255,2019,,,2021/09/22,to-read,to-read (#78),to-read,,,,0,0
28321010,Kafka: The Definitive Guide: Real-Time Data and Stream Processing at Scale,Neha Narkhede,"Narkhede, Neha","Gwen Shapira, Todd Palino","=""1491936169""","=""9781491936160""",0,4.14,O'Reilly Media,Paperback,322,2017,,,2021/09/22,to-read,to-read (#77),to-read,,,,0,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",0,4.72,O'Reilly,ebook,562,,2015,,2021/09/22,to-read,to-read (#76),to-read,,,,0,0
18176747,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,"Horowitz, Ben",,"=""0062273205""","=""9780062273208""",5,4.23,Harper Business,Hardcover,304,2014,2014,2021/09/20,2020/05/30,business,business (#14),read,A real eye opener to the world of tech businesses and being a CEO for a tech company. A must read before telling someone you want to be a CEO of something. It might help you or change your mind. Even if you are a cog in the machine there are lessons here for you too. Inspired thanks Ben H.,,,1,0
50419441,Mathematics for Machine Learning,Marc Deisenroth,"Deisenroth, Marc","A. Aldo Faisal, Cheng Soon Ong","=""1108679935""","=""9781108679930""",0,4.37,Cambridge University Press,ebook,,2020,,,2021/09/20,to-read,to-read (#75),to-read,,,,0,0
